Символ,Частота,Код
' ',0.172872,000
'о',0.082475,001
'е',0.059241,0100
'а',0.058461,0101
'и',0.049107,0110
'н',0.044715,01110
'т',0.043459,01111
'с',0.039457,1000
'л',0.035561,10010
'р',0.033466,10011
'в',0.033244,10100
'к',0.024244,101010
'д',0.021529,101011
'м',0.020916,10110
"','",0.020836,101110
'у',0.019168,101111
'п',0.017167,110000
'.',0.015428,110001
'я',0.015333,110010
'г',0.014600,110011
'ь',0.013570,110100
'ы',0.013566,110101
'з',0.012896,110110
'б',0.011413,1101110
'ч',0.009934,1101111
'й',0.007782,1110000
'ж',0.007397,1110001
'\n',0.007060,1110010
'-',0.006884,1110011
'ш',0.006444,1110100
'х',0.006076,11101010
'ю',0.004726,11101011
'e',0.003238,11101100
'ц',0.002657,11101101
'В',0.002419,11101110
':',0.002312,111011110
'I',0.002185,111011111
'1',0.002147,111100000
'щ',0.002105,111100001
'Н',0.001905,111100010
'э',0.001872,111100011
'П',0.001828,111100100
'С',0.001766,111100101
's',0.001579,111100110
'2',0.001498,111100111
'3',0.001492,111101000
'a',0.001457,111101001
'n',0.001454,111101010
'ф',0.001447,1111010110
'r',0.001394,1111010111
'i',0.001387,111101100
'o',0.001297,1111011010
'u',0.001277,1111011011
't',0.001229,111101110
'А',0.001222,1111011110
'6',0.001168,1111011111
'8',0.001159,111110000
'О',0.001139,1111100010
'К',0.001060,1111100011
'l',0.001042,1111100100
'Р',0.000997,1111100101
'М',0.000994,1111100110
'?',0.000892,1111100111
'Б',0.000885,1111101000
'Д',0.000883,1111101001
'!',0.000877,1111101010
"'""'",0.000859,1111101011
'7',0.000838,1111101100
'm',0.000776,1111101101
'9',0.000737,1111101110
'4',0.000731,11111011110
'0',0.000691,11111011111
'd',0.000671,1111110000
'c',0.000646,11111100010
'5',0.000628,11111100011
'X',0.000623,1111110010
'И',0.000619,11111100110
'Т',0.000598,11111100111
';',0.000579,1111110100
'ё',0.000537,11111101010
'p',0.000510,11111101011
')',0.000487,11111101100
'(',0.000464,11111101101
'Г',0.000454,11111101110
'V',0.000423,11111101111
'v',0.000384,11111110000
'Ч',0.000378,11111110001
'Я',0.000324,11111110010
'ъ',0.000322,111111100110
"""'""",0.000312,111111100111
'é',0.000307,11111110100
'Е',0.000305,111111101010
'Э',0.000286,111111101011
'́',0.000277,11111110110
'h',0.000272,111111101110
'f',0.000211,111111101111
'q',0.000201,111111110000
'Л',0.000198,111111110001
'g',0.000182,111111110010
'b',0.000179,1111111100110
'̀',0.000173,1111111100111
'У',0.000164,111111110100
'З',0.000145,1111111101010
'Ф',0.000137,1111111101011
'j',0.000112,111111110110
'Ж',0.000109,1111111101110
'z',0.000109,1111111101111
'à',0.000107,1111111110000
'L',0.000101,1111111110001
'ó',0.000093,1111111110010
'è',0.000089,1111111110011
'ò',0.000086,1111111110100
'Х',0.000084,11111111101010
'M',0.000082,11111111101011
'Ш',0.000079,1111111110110
'A',0.000066,11111111101110
'B',0.000064,11111111101111
'x',0.000062,11111111110000
'C',0.000052,11111111110001
'N',0.000049,11111111110010
'ê',0.000047,11111111110011
'y',0.000044,11111111110100
'E',0.000043,111111111101010
'P',0.000042,111111111101011
'J',0.000040,11111111110110
'S',0.000038,111111111101110
'D',0.000031,111111111101111
'[',0.000031,111111111110000
']',0.000031,111111111110001
'R',0.000024,111111111110010
'Ь',0.000021,111111111110011
'k',0.000020,111111111110100
'Ц',0.000020,1111111111101010
'ç',0.000020,1111111111101011
'_',0.000020,111111111110110
'O',0.000018,1111111111101110
'Q',0.000017,1111111111101111
'І',0.000016,1111111111110000
'w',0.000016,1111111111110001
'F',0.000016,1111111111110010
'T',0.000015,1111111111110011
'G',0.000014,1111111111110100
'ό',0.000012,1111111111110101
'―',0.000012,1111111111110110
'H',0.000011,1111111111110111
'â',0.000011,1111111111111000
'Ы',0.000010,11111111111110010
'K',0.000010,11111111111110011
'U',0.000010,11111111111110100
'î',0.000008,11111111111110101
'ô',0.000008,11111111111110110
'Й',0.000007,11111111111110111
'Ю',0.000007,11111111111111000
'Щ',0.000007,11111111111111001
'û',0.000005,11111111111111010
'W',0.000005,111111111111110110
'*',0.000005,111111111111110111
'/',0.000004,111111111111111000
'і',0.000003,111111111111111001
'ù',0.000002,111111111111111010
'á',0.000002,1111111111111110110
'ö',0.000002,1111111111111110111
'ë',0.000002,1111111111111111000
'Y',0.000002,1111111111111111001
'Z',0.000001,1111111111111111010
'ü',0.000001,1111111111111111011
'Ç',0.000001,11111111111111111000
'ä',0.000001,11111111111111111001
'Ъ',0.000001,11111111111111111010
'ï',0.000001,111111111111111110110
'ę',0.000001,111111111111111110111
'=',0.000001,111111111111111111000
'Ѵ',0.000001,111111111111111111001
'\ufeff',0.000000,111111111111111111010
'\uf00f',0.000000,111111111111111111011
'№',0.000000,111111111111111111100
'́',0.000000,1111111111111111111010
'̀',0.000000,1111111111111111111011
'ȃ',0.000000,111111111111111111110
'°',0.000000,1111111111111111111110
'\t',0.000000,1111111111111111111111
